"Alone","Copartisans","Opposition","Name","State","District","MarVicGen","MarVicPrim","MADemVotePresidential","RedistYear","PercDelegationSameParty","DeviationFromMedian","Congress","Committee Chair","Committee Ranking Member","Lost","Ran for Higher Office","Retired"
0.35,0.51,0.13,"MADDENRAYJ","IN",1,0.72,1.19,3.7,0,0.6,1.13,94,1,0,1,0,0
0.78,0.17,0.05,"MAHONGEORGEH","TX",19,1.93,1.71,3.65,0,1.2,0.2,93,1,0,0,0,0
0.59,0.28,0.13,"MAHONGEORGEH","TX",19,1.93,1.71,3.51,0,1.33,0.2,94,1,0,0,0,0
0.63,0.28,0.1,"MAHONGEORGEH","TX",19,0.18,1.71,3.49,0,1.4,0.21,95,1,0,0,0,1
0.21,0.36,0.43,"MAILLIARDWILLIAMS","CA",6,0.08,0.54,3.33,0,1.33,0.27,93,0,1,0,0,1
0.33,0.53,0.15,"MCFALLJOHNJ","CA",15,1.93,1.71,4.13,0,1.6,1.12,93,0,0,0,0,0
0.29,0.63,0.09,"MCFALLJOHNJ","CA",14,0.95,1.22,4.1,0,1.87,1.15,94,0,0,0,0,0
0.34,0.51,0.15,"MCFALLJOHNJ","CA",14,0.87,1.12,4.08,0,1.87,1.2,95,0,0,1,0,0
0.16,0.54,0.31,"MICHELROBERTH","IL",18,0.57,1.71,4,0,0.87,1.03,93,0,0,0,0,0
0.17,0.65,0.18,"MICHELROBERTH","IL",18,0.18,1.71,4.09,0,0.73,1.06,94,0,0,0,0,0
0.17,0.6,0.23,"MICHELROBERTH","IL",18,0.3,1.71,4.11,0,0.8,1.11,95,0,0,0,0,0
0.11,0.55,0.33,"MICHELROBERTH","IL",18,0.61,1.71,3.91,0,0.87,1.07,96,0,0,0,0,0
0.64,0.22,0.14,"MICHELROBERTH","IL",18,0.47,1.71,3.99,0,0.93,1.13,97,0,0,0,0,0
0.12,0.51,0.37,"MICHELROBERTH","IL",18,0.06,1.71,4.1,0,0.67,1.32,98,0,0,0,0,0
0.19,0.46,0.34,"MICHELROBERTH","IL",18,0.43,1.71,4.13,0,0.53,1.4,99,0,0,0,0,0
0.36,0.41,0.23,"MICHELROBERTH","IL",18,0.49,1.71,3.97,0,0.53,1.4,100,0,0,0,0,0
0,0.38,0.61,"MICHELROBERTH","IL",18,0.18,1.22,3.98,0,0.4,1.44,101,0,0,0,0,0
0.16,0.54,0.31,"MICHELROBERTH","IL",18,1.88,1.71,3.97,0,0.4,1.4,102,0,0,0,0,0
0.02,0.46,0.53,"MICHELROBERTH","IL",18,0.3,1.71,3.99,0,0.53,1.19,103,0,0,0,0,1
